[2018-12-23 15:21:14] [ERROR] https://dblp.uni-trier.de/db/journals/adhoc/adhoc71.html Exc..., try again after 10s
[2018-12-23 15:21:14] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out.
[2018-12-23 15:21:46] [ERROR] https://dblp.uni-trier.de/db/journals/adhoc/adhoc71.html Exc..., try again after 10s
[2018-12-23 15:21:46] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 15:22:44] [ERROR] https://dblp.uni-trier.de/db/journals/adhoc/adhoc74.html Exc..., try again after 10s
[2018-12-23 15:22:44] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 15:24:33] [ERROR] https://dblp.uni-trier.de/db/journals/adhoc/adhoc57.html Exc..., try again after 10s
[2018-12-23 15:24:33] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out.
[2018-12-23 15:25:14] [ERROR] https://dblp.uni-trier.de/db/journals/adhoc/adhoc61.html Exc..., try again after 10s
[2018-12-23 15:25:14] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 15:25:45] [ERROR] https://dblp.uni-trier.de/db/journals/adhoc/adhoc61.html Exc..., try again after 10s
[2018-12-23 15:25:45] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 15:26:26] [ERROR] https://dblp.uni-trier.de/db/journals/adhoc/adhoc63.html Exc..., try again after 10s
[2018-12-23 15:26:26] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 15:27:59] [ERROR] https://dblp.uni-trier.de/db/journals/adhoc/adhoc63.html Exc..., try again after 10s
[2018-12-23 15:27:59] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out.
[2018-12-23 15:28:46] [ERROR] https://dblp.uni-trier.de/db/journals/adhoc/adhoc65.html Exc..., try again after 10s
[2018-12-23 15:28:46] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out.
[2018-12-23 15:29:19] [ERROR] https://dblp.uni-trier.de/db/journals/adhoc/adhoc65.html Exc..., try again after 10s
[2018-12-23 15:29:19] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 15:29:54] [ERROR] https://dblp.uni-trier.de/db/journals/adhoc/adhoc65.html Exc..., try again after 10s
